,id,publish_date,sold_date,days_to_sell
591,3303,2016-03-27,2016-04-16,20
592,3309,2016-03-27,2016-05-09,43
593,3310,2016-03-27,2016-07-01,96
594,3311,2016-03-27,2016-06-03,68
595,3312,2016-03-27,2016-06-03,68
596,3313,2016-03-27,2016-04-30,34
597,3314,2016-03-27,2016-04-30,34
598,3315,2016-03-27,2016-04-30,34
599,3318,2016-03-27,2016-04-30,34
600,3319,2016-03-27,2016-04-30,34
601,3326,2016-03-27,2016-04-07,11
602,3332,2016-03-27,2016-05-20,54
603,3337,2016-03-27,2016-04-08,12
604,3339,2016-03-27,2016-04-30,34
605,3361,2016-03-27,2016-04-16,20
606,3378,2016-03-27,2016-04-24,28
607,3382,2016-03-27,2016-04-16,20
608,3392,2016-03-27,2016-04-07,11
609,3393,2016-03-27,2016-04-07,11
610,3404,2016-03-27,2016-04-07,11
611,3406,2016-03-27,2016-05-03,37
612,3415,2016-03-27,2016-04-07,11
613,3416,2016-03-27,2016-05-12,46
614,3417,2016-03-27,2016-04-07,11
615,3432,2016-03-27,2016-05-19,53
616,3434,2016-03-27,2016-05-28,62
617,3436,2016-03-27,2016-04-07,11
618,3438,2016-03-27,2016-05-09,43
619,3445,2016-03-27,2016-04-21,25
620,3448,2016-03-27,2016-07-01,96
621,3485,2016-03-27,2016-04-07,11
622,3486,2016-03-27,2016-04-07,11
623,3487,2016-03-27,2016-05-05,39
624,3488,2016-03-27,2016-04-07,11
625,3495,2016-03-27,2016-04-16,20
626,3496,2016-03-27,2016-04-09,13
627,3505,2016-03-27,2016-04-16,20
628,3508,2016-03-27,2016-05-14,48
629,3509,2016-03-27,2016-05-15,49
630,3525,2016-03-27,2016-05-09,43
631,3527,2016-03-27,2016-04-07,11
632,3531,2016-03-27,2016-04-07,11
633,3532,2016-03-27,2016-04-30,34
634,3535,2016-03-27,2016-04-09,13
635,3536,2016-03-27,2016-04-30,34
636,3537,2016-03-27,2016-04-07,11
637,3538,2016-03-27,2016-04-09,13
638,3547,2016-03-27,2016-04-20,24
639,3556,2016-03-27,2016-04-08,12
640,3557,2016-03-27,2016-04-07,11
641,3567,2016-03-27,2016-05-03,37
642,3569,2016-03-27,2016-04-30,34
643,3570,2016-03-27,2016-04-16,20
644,3573,2016-03-27,2016-04-16,20
